registry_id	entity_name	candidate_class	registrable_domain	scope_policy	anchors_accounted	discovered_url_count	inspected_page_count	blocked_url_count	unresolved_url_count	primary_public_positioning	user_jobs	marketplace_scope	data_scope	ai_llm_framing	read_analysis_vs_write_automation_framing	integrations	pricing_availability	proof_trust	cta_pattern	content_architecture_pattern	octoport_overlap	octoport_difference	candidate_gap_count	completion_state	unresolved_reason
REG035	Sam X	RELEVANT_ONE_OFF_PRODUCT_VENDOR	sam-x.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	1/1	1	1	0	1	AD_ANALYTICS_OR_AUTOMATION | AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER	WILDBERRIES	STOCKS | ADS | REVIEWS | COMPETITOR_OR_NICHE	AI_AGENT	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM	WILDBERRIES | AI_AGENT	PUBLIC_PRICE_OR_TRIAL_MENTION	CASES_OR_TESTIMONIALS	CONNECT	Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	2	RECOVERY_REQUIRED	1 unresolved URL(s)
REG037	Sellerden	RECURRING_PRODUCT_VENDOR	sellerden.ru	THEME_SCOPED_PUBLIC_TAXONOMY	2/2	49	38	0	13	PRICING_REPRICING | AD_ANALYTICS_OR_AUTOMATION | REPORTING_FINANCE | INVENTORY_SUPPLY | SELLER_ANALYTICS	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION	WILDBERRIES | OZON | YANDEX_MARKET | GENERIC_MARKETPLACE	ORDERS | SALES | STOCKS | ADS | FINANCE | COMPETITOR_OR_NICHE | REVIEWS | SEARCH_TERMS	NOT_OBSERVED | AI_AGENT | GENERIC_AI	READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM | WRITE_OR_AUTOMATION_COMPETITOR_CLAIM	WILDBERRIES | OZON | YANDEX_MARKET | AI_AGENT | GENERIC_AI | GENERIC_MARKETPLACE	PUBLIC_PRICE_OR_TRIAL_MENTION | NOT_OBSERVED_IN_CAPTURE	CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | NOT_OBSERVED | CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | CASES_OR_TESTIMONIALS | SECURITY_CLAIM	REGISTER | BUY_OR_LEAD | DEMO | TRY | REGISTER | BUY_OR_LEAD | DEMO | TRY | REGISTER | BUY_OR_LEAD | TRY | REGISTER | BUY_OR_LEAD | DEMO | REGISTER | BUY_OR_LEAD | REGISTER | REGISTER | BUY_OR_LEAD | CONNECT | REGISTER | CONNECT | TRY | REGISTER | BUY_OR_LEAD | CONNECT	Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	56	RECOVERY_REQUIRED	13 unresolved URL(s)
REG038	Sellermoon	RECURRING_PRODUCT_VENDOR	sellermoon.ru	THEME_SCOPED_PUBLIC_TAXONOMY	9/9	0	5	0	4	AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING | PRODUCT_CARD_OR_CONTENT	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER	WILDBERRIES | OZON | YANDEX_MARKET	SALES | STOCKS | ADS | REVIEWS | SEARCH_TERMS | FINANCE | COMPETITOR_OR_NICHE | ORDERS	GENERIC_AI	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM | CREATIVE_GENERATION_COMPETITOR_CLAIM	WILDBERRIES | OZON | YANDEX_MARKET | GENERIC_AI	PUBLIC_PRICE_OR_TRIAL_MENTION	CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | CASES_OR_TESTIMONIALS | SECURITY_CLAIM | API_OR_PARTNER_CLAIM | SECURITY_CLAIM | API_OR_PARTNER_CLAIM | CASES_OR_TESTIMONIALS	REGISTER | BUY_OR_LEAD | REGISTER | TRY | REGISTER | NOT_OBSERVED	Accepted anchors captured; same-entity navigation enumeration requires recovery	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	10	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser; 4 unresolved URL(s)
REG039	Sellerstats	RELEVANT_ONE_OFF_PRODUCT_VENDOR	sellerstats.ru	THEME_SCOPED_PUBLIC_TAXONOMY	1/1	0	1	0	0	AD_ANALYTICS_OR_AUTOMATION | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING | PRODUCT_CARD_OR_CONTENT	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP	WILDBERRIES | OZON | YANDEX_MARKET	ORDERS | SALES | STOCKS | ADS | REVIEWS | SEARCH_TERMS | FINANCE | COMPETITOR_OR_NICHE	NOT_OBSERVED	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM	WILDBERRIES | OZON | YANDEX_MARKET	PUBLIC_PRICE_OR_TRIAL_MENTION	CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | SECURITY_CLAIM	TRY | REGISTER	Accepted anchors captured; same-entity navigation enumeration requires recovery	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	2	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG040	Sellmonitor	RECURRING_PRODUCT_VENDOR	sellmonitor.com	THEME_SCOPED_PUBLIC_TAXONOMY	2/2	0	2	0	0	AD_ANALYTICS_OR_AUTOMATION | AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER	WILDBERRIES | OZON | YANDEX_MARKET	ORDERS | SALES | STOCKS | ADS | REVIEWS | SEARCH_TERMS | FINANCE | COMPETITOR_OR_NICHE	GENERIC_AI | NOT_OBSERVED	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM	WILDBERRIES | OZON | YANDEX_MARKET | GENERIC_AI	PUBLIC_PRICE_OR_TRIAL_MENTION	CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM	TRY | REGISTER | BUY_OR_LEAD | TRY	Accepted anchors captured; same-entity navigation enumeration requires recovery	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	4	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG041	Sellper	RECURRING_PRODUCT_VENDOR	sellper.ru	THEME_SCOPED_PUBLIC_TAXONOMY	1/1	0	1	0	0	AD_ANALYTICS_OR_AUTOMATION | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING | REPORTING_FINANCE	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP	WILDBERRIES | OZON | YANDEX_MARKET	ORDERS | SALES | STOCKS | ADS | REVIEWS | FINANCE | COMPETITOR_OR_NICHE	NOT_OBSERVED	READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM	WILDBERRIES | OZON | YANDEX_MARKET	PUBLIC_PRICE_OR_TRIAL_MENTION	API_OR_PARTNER_CLAIM | SECURITY_CLAIM	TRY | REGISTER | CONNECT	Accepted anchors captured; same-entity navigation enumeration requires recovery	Seller analytics/help/AI/task vocabulary; competitor evidence only	Mechanism, source authority and capability cannot transfer to Octoport	2	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG042	Selsup	RECURRING_PRODUCT_VENDOR	selsup.ru	THEME_SCOPED_PUBLIC_TAXONOMY	5/5	0	5	0	0	AD_ANALYTICS_OR_AUTOMATION | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING | PRODUCT_CARD_OR_CONTENT	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER | SEARCH_OR_NICHE_ANALYTICS	WILDBERRIES | OZON | YANDEX_MARKET	ORDERS | SALES | STOCKS | ADS | REVIEWS | FINANCE | SEARCH_TERMS | COMPETITOR_OR_NICHE	AI_AGENT | GENERIC_AI | NOT_OBSERVED | CHATGPT_OPENAI | CLAUDE	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM	WILDBERRIES | OZON | AI_AGENT | GENERIC_AI | YANDEX_MARKET | CHATGPT_OPENAI | CLAUDE	PUBLIC_PRICE_OR_TRIAL_MENTION	CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | SECURITY_CLAIM | CASES_OR_TESTIMONIALS | CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | CASES_OR_TESTIMONIALS | SECURITY_CLAIM	DEMO | TRY | CONNECT | DEMO | TRY | DEMO | TRY | REGISTER | BUY_OR_LEAD | DEMO | TRY | BUY_OR_LEAD | CONNECT | DEMO | TRY | REGISTER | CONNECT	Accepted anchors captured; same-entity navigation enumeration requires recovery	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	9	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG044	Softrest	RECURRING_PRODUCT_VENDOR	softrest.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	1/1	18	1	0	0	AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING | PRODUCT_CARD_OR_CONTENT	SELLER_ANALYTICS | PRODUCT_CARD_OR_CONTENT | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER	WILDBERRIES | OZON	ORDERS | SALES | STOCKS | REVIEWS | SEARCH_TERMS	AI_AGENT	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM	WILDBERRIES | OZON | AI_AGENT	PUBLIC_PRICE_OR_TRIAL_MENTION	CASES_OR_TESTIMONIALS	TRY	Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	2	COMPLETE_BOUNDED_FRONTIER	none
REG045	Superintellect	RECURRING_PRODUCT_VENDOR	superintellect.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	5/5	10	3	0	4	AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING | PRODUCT_CARD_OR_CONTENT	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER	WILDBERRIES | OZON	ORDERS | SALES | STOCKS | ADS | REVIEWS | SEARCH_TERMS | FINANCE | COMPETITOR_OR_NICHE	AI_AGENT | CHATGPT_OPENAI	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM	WILDBERRIES | OZON | AI_AGENT | CHATGPT_OPENAI	PUBLIC_PRICE_OR_TRIAL_MENTION	CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | SECURITY_CLAIM | API_OR_PARTNER_CLAIM	TRY | CONNECT | CONNECT	Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	6	RECOVERY_REQUIRED	4 unresolved URL(s)
REG046	Tablichki	RECURRING_PRODUCT_VENDOR	tablichki.tech	THEME_SCOPED_PUBLIC_TAXONOMY	4/4	11	9	0	4	AD_ANALYTICS_OR_AUTOMATION | INVENTORY_SUPPLY | REPORTING_FINANCE | AI_OR_DIGITAL_HELPER | PRICING_REPRICING	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER	WILDBERRIES | OZON | YANDEX_MARKET	ORDERS | SALES | STOCKS | ADS | REVIEWS | SEARCH_TERMS | FINANCE | COMPETITOR_OR_NICHE	AI_AGENT | CHATGPT_OPENAI | CLAUDE | NOT_OBSERVED	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM | READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM	WILDBERRIES | OZON | AI_AGENT | CHATGPT_OPENAI | CLAUDE | YANDEX_MARKET	PUBLIC_PRICE_OR_TRIAL_MENTION	CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | CASES_OR_TESTIMONIALS | CASES_OR_TESTIMONIALS | SECURITY_CLAIM | CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | SECURITY_CLAIM	TRY | TRY | CONNECT	Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	15	RECOVERY_REQUIRED	4 unresolved URL(s)
REG049	Torgstat	RECURRING_PRODUCT_VENDOR	torgstat.ru	THEME_SCOPED_PUBLIC_TAXONOMY	1/1	2	3	0	0	AD_ANALYTICS_OR_AUTOMATION | INVENTORY_SUPPLY | REPORTING_FINANCE | SELLER_ANALYTICS | SELLER_PROCEDURAL_HELP	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | SELLER_PROCEDURAL_HELP | PRICING_REPRICING	WILDBERRIES | OZON | YANDEX_MARKET	ORDERS | SALES | STOCKS | ADS | REVIEWS | FINANCE | COMPETITOR_OR_NICHE	NOT_OBSERVED	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM | READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM	WILDBERRIES | OZON | YANDEX_MARKET	PUBLIC_PRICE_OR_TRIAL_MENTION | NOT_OBSERVED_IN_CAPTURE	CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | API_OR_PARTNER_CLAIM | API_OR_PARTNER_CLAIM | SECURITY_CLAIM	TRY | CONNECT | NOT_OBSERVED | CONNECT	Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	5	COMPLETE_BOUNDED_FRONTIER	none
REG050	Tulpari	RELEVANT_ONE_OFF_PRODUCT_VENDOR	tulpari.ru	THEME_SCOPED_PUBLIC_TAXONOMY	1/1	0	1	0	0	AD_ANALYTICS_OR_AUTOMATION | AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER	WILDBERRIES | OZON | YANDEX_MARKET	ORDERS | SALES | STOCKS | ADS | REVIEWS | FINANCE | COMPETITOR_OR_NICHE	AI_AGENT	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM	WILDBERRIES | OZON | YANDEX_MARKET | AI_AGENT	PUBLIC_PRICE_OR_TRIAL_MENTION	CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | SECURITY_CLAIM	DEMO | TRY | REGISTER | BUY_OR_LEAD	Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	2	COMPLETE_BOUNDED_FRONTIER	none
REG051	Uniseller	RECURRING_PRODUCT_VENDOR	uniseller.io	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	2/2	0	2	0	0	AD_ANALYTICS_OR_AUTOMATION | AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER	WILDBERRIES | OZON | YANDEX_MARKET	ORDERS | SALES | STOCKS | REVIEWS | COMPETITOR_OR_NICHE | ADS | FINANCE	CHATGPT_OPENAI | CLAUDE | AI_AGENT | GENERIC_AI	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM	WILDBERRIES | OZON | YANDEX_MARKET | CHATGPT_OPENAI | CLAUDE | AI_AGENT | GENERIC_AI	PUBLIC_PRICE_OR_TRIAL_MENTION	CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | CASES_OR_TESTIMONIALS	TRY | REGISTER | CONNECT | TRY | CONNECT	Accepted anchors captured; same-entity navigation enumeration requires recovery	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	4	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG053	Wbcon	RECURRING_PRODUCT_VENDOR	wbcon.ru	THEME_SCOPED_PUBLIC_TAXONOMY	3/3	10	12	0	1	PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | AD_ANALYTICS_OR_AUTOMATION | SELLER_PROCEDURAL_HELP | PRICING_REPRICING	PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | SELLER_PROCEDURAL_HELP | SELLER_ANALYTICS | AD_ANALYTICS_OR_AUTOMATION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | REPORTING_FINANCE	WILDBERRIES | OZON | GENERIC_MARKETPLACE	SEARCH_TERMS | ORDERS | STOCKS | ADS | REVIEWS | COMPETITOR_OR_NICHE | SALES	CHATGPT_OPENAI | GENERIC_AI | NOT_OBSERVED	READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM | WRITE_OR_AUTOMATION_COMPETITOR_CLAIM	WILDBERRIES | OZON | CHATGPT_OPENAI | GENERIC_AI | GENERIC_MARKETPLACE	NOT_OBSERVED_IN_CAPTURE | PUBLIC_PRICE_OR_TRIAL_MENTION	NOT_OBSERVED | CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM	NOT_OBSERVED | BUY_OR_LEAD	Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	15	RECOVERY_REQUIRED	1 unresolved URL(s)
REG056	Wildcrm	RECURRING_PRODUCT_VENDOR	wildcrm.ru	THEME_SCOPED_PUBLIC_TAXONOMY	2/2	0	2	0	0	AD_ANALYTICS_OR_AUTOMATION | INVENTORY_SUPPLY | PRICING_REPRICING | PRODUCT_CARD_OR_CONTENT | REVIEWS_SUPPORT	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP	WILDBERRIES | OZON	SALES | STOCKS | ADS | REVIEWS | SEARCH_TERMS | FINANCE | COMPETITOR_OR_NICHE | ORDERS	NOT_OBSERVED	CREATIVE_GENERATION_COMPETITOR_CLAIM | READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM	WILDBERRIES | OZON	PUBLIC_PRICE_OR_TRIAL_MENTION	CASES_OR_TESTIMONIALS | NOT_OBSERVED	DEMO | TRY | REGISTER | TRY | REGISTER	Accepted anchors captured; same-entity navigation enumeration requires recovery	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	4	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG058	Yoolip	RECURRING_PRODUCT_VENDOR	yoolip.ai	THEME_SCOPED_PUBLIC_TAXONOMY	1/1	0	1	0	0	AD_ANALYTICS_OR_AUTOMATION | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING | PRODUCT_CARD_OR_CONTENT	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP	WILDBERRIES | OZON	ORDERS | SALES | STOCKS | ADS | FINANCE	GENERIC_AI	READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM	WILDBERRIES | OZON | GENERIC_AI	PUBLIC_PRICE_OR_TRIAL_MENTION	CASES_OR_TESTIMONIALS | SECURITY_CLAIM	DEMO | TRY | REGISTER | CONNECT	Accepted anchors captured; same-entity navigation enumeration requires recovery	Seller analytics/help/AI/task vocabulary; competitor evidence only	Mechanism, source authority and capability cannot transfer to Octoport	2	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG060	Zinaida	RELEVANT_ONE_OFF_PRODUCT_VENDOR	zinaida.pro	THEME_SCOPED_PUBLIC_TAXONOMY	1/1	3	2	0	0	AD_ANALYTICS_OR_AUTOMATION | AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER	WILDBERRIES | OZON	ORDERS | SALES | STOCKS | ADS | SEARCH_TERMS | FINANCE | COMPETITOR_OR_NICHE	AI_AGENT | NOT_OBSERVED	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM	WILDBERRIES | OZON | AI_AGENT	PUBLIC_PRICE_OR_TRIAL_MENTION	API_OR_PARTNER_CLAIM | NOT_OBSERVED	TRY | CONNECT | NOT_OBSERVED	Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	3	COMPLETE_BOUNDED_FRONTIER	none
